city_Mun_Res,barangay_Res,date,count_Exposed,count_Infectious,count_Recovered,count_Specimen_age_9_below,count_Specimen_age_10_17,count_Specimen_age_18_39,count_Specimen_age_40_59,count_Specimen_age_60_79,count_Specimen_age_80_above,count_Conf_age_9_below,count_Conf_age_10_17,count_Conf_age_18_39,count_Conf_age_40_59,count_Conf_age_60_79,count_Conf_age_80_above,count_Reco_age_9_below,count_Reco_age_10_17,count_Reco_age_18_39,count_Reco_age_40_59,count_Reco_age_60_79,count_Reco_age_80_above,count_Specimen_Unknown,count_Conf_Unknown,count_Reco_Unknown
CITY OF BIÑAN,DE LA PAZ,2020-08-25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-08-26,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-08-27,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-08-28,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-08-29,7,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-08-30,7,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-08-31,7,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-01,3,4,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-02,3,4,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-03,3,5,0,0,0,2,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-04,4,5,0,0,0,3,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-05,3,7,0,0,0,1,1,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-06,3,7,0,0,0,1,1,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-07,4,7,0,0,0,1,2,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-08,5,7,0,0,0,1,2,2,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-09,5,7,0,0,0,1,2,2,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-10,4,9,0,0,0,2,1,1,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-11,2,11,0,0,0,1,0,1,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-12,2,11,0,0,0,1,0,1,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-13,2,11,0,0,0,1,0,1,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-14,0,13,0,0,0,0,0,0,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-15,1,13,0,0,0,1,0,0,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-16,2,13,0,0,0,1,1,0,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-17,3,13,0,0,0,2,1,0,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-18,2,14,0,0,0,1,1,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-19,2,14,0,0,0,1,1,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-20,2,8,6,0,0,1,1,0,0,0,0,5,1,2,0,0,0,2,3,1,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-21,2,8,6,0,0,1,1,0,0,0,0,5,1,2,0,0,0,2,3,1,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-22,2,8,6,0,0,1,1,0,0,0,0,5,1,2,0,0,0,2,3,1,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-23,2,8,6,0,0,1,1,0,0,0,0,5,1,2,0,0,0,2,3,1,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-24,1,9,6,0,0,0,1,0,0,0,0,6,1,2,0,0,0,2,3,1,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-25,1,9,6,0,0,0,1,0,0,0,0,6,1,2,0,0,0,2,3,1,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-26,1,9,6,0,0,0,1,0,0,0,0,6,1,2,0,0,0,2,3,1,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-27,1,4,11,0,0,0,1,0,0,0,0,3,0,1,0,0,0,5,4,2,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-28,2,4,11,0,0,1,1,0,0,0,0,3,0,1,0,0,0,5,4,2,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-29,2,4,11,0,0,1,1,0,0,0,0,3,0,1,0,0,0,5,4,2,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-09-30,2,4,11,0,0,1,1,0,0,0,0,3,0,1,0,0,0,5,4,2,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-01,2,5,11,0,0,1,1,0,0,0,0,4,0,1,0,0,0,5,4,2,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-02,3,5,11,0,0,2,1,0,0,0,0,4,0,1,0,0,0,5,4,2,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-03,3,5,11,0,0,2,1,0,0,0,0,4,0,1,0,0,0,5,4,2,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-04,4,2,14,0,0,3,1,0,0,0,0,2,0,0,0,0,0,7,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-05,4,2,14,0,0,3,1,0,0,0,0,2,0,0,0,0,0,7,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-06,2,4,14,0,0,2,0,0,0,0,0,3,1,0,0,0,0,7,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-07,3,4,14,0,0,3,0,0,0,0,0,3,1,0,0,0,0,7,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-08,3,4,14,0,0,3,0,0,0,0,0,3,1,0,0,0,0,7,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-09,2,5,14,0,0,2,0,0,0,0,0,4,1,0,0,0,0,7,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-10,5,5,14,0,0,5,0,0,0,0,0,4,1,0,0,0,0,7,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-11,3,6,15,0,0,3,0,0,0,0,0,5,1,0,0,0,0,8,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-12,3,6,15,0,0,3,0,0,0,0,0,5,1,0,0,0,0,8,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-13,2,7,15,0,0,2,0,0,0,0,0,6,1,0,0,0,0,8,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-14,3,7,15,0,0,3,0,0,0,0,0,6,1,0,0,0,0,8,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-15,3,7,15,0,0,3,0,0,0,0,0,6,1,0,0,0,0,8,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-16,3,7,15,0,0,3,0,0,0,0,0,6,1,0,0,0,0,8,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-17,1,8,16,0,0,1,0,0,0,0,0,7,1,0,0,0,0,9,4,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-18,2,6,18,0,0,1,1,0,0,0,0,6,0,0,0,0,0,10,5,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-19,2,6,18,0,0,1,1,0,0,0,0,6,0,0,0,0,0,10,5,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-20,2,6,18,0,0,1,1,0,0,0,0,6,0,0,0,0,0,10,5,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-21,1,7,18,0,0,0,1,0,0,0,0,7,0,0,0,0,0,10,5,3,0,0,0,0
CITY OF BIÑAN,DE LA PAZ,2020-10-22,1,7,18,0,0,0,1,0,0,0,0,7,0,0,0,0,0,10,5,3,0,0,0,0
